Customer_id,Customer_name,Customer_address,Reg_date
123,Merin,"54/9,Dwaraka,Nellimoodu,Thiruvananthapuram",2023-07-28
124,Mamtha,"2/7,Rachel"s house,Varkala,Kollam",2023-06-15
125,Krishna,"31/6,Devaragam,Pathanamthitta",2023-05-03
126,Sruthi,"8/123,Changanassery,Kottayam",2022-04-15
127,Linda,"41/98,Guruvayur,Thrissur",2023-01-10
128,Eby,"7/40,Vytila,Ernakulam",2022-02-14
129,Pushpa,"21/6,Payyanur,Kannur",2023-01-13
130,Preetha,"19/3,Koipady,Kasargode",2020-08-10
131,Chinchu,"7/20,Beypore,Kozhikode",2021-09-12
132,Vishnu,"5/2,Vandanam,Mananthavady,Wayanad",2022-01-31
